Unnamed: 0,year,price,ranks,title,no_of_reviews,ratings,author
10,2009,17.06,11,Eclipse (Twilight),"12,788",4.7,Stephenie Meyer
11,2009,15.48,12,"Twilight (The Twilight Saga, Book 1)","22,129",4.7,Stephenie Meyer
12,2009,,13,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine","1,421",4.6,Glenn Beck
13,2009,11.49,14,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,"3,498",4.4,Greg Mortenson
14,2009,11.48,15,The Love Dare,"3,305",4.8,Stephen Kendrick
15,2009,19.93,16,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment","7,045",4.6,Steve Harvey
16,2009,11.25,17,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)","7,987",4.7,Jeff Kinney
17,2009,30.46,18,Under the Dome: A Novel,"9,120",4.4,Stephen King
18,2009,10.42,19,The Guernsey Literary and Potato Peel Pie Society,"14,909",4.7,Mary Ann Shaffer
19,2009,11.79,20,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,930,4.5,David Zinczenko
20,2009,10.5,21,Arguing with Idiots: How to Stop Small Minds and Big Government,895,4.6,Glenn Beck
21,2009,28.49,22,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook","7,581",4.8,Julia Child
22,2009,82.03,23,Sookie Stackhouse,995,4.7,Charlaine Harris
23,2009,10.99,24,The Time Traveler's Wife,"6,611",4.5,Audrey Niffenegger
24,2009,23.48,25,"Publication Manual of the American Psychological Association, 6th Edition","12,677",4.5,American Psychological Association
25,2009,13.98,26,True Compass: A Memoir,509,4.5,Edward M. Kennedy
26,2009,9.49,27,The Girl with the Dragon Tattoo (Millennium Series),"15,488",4.5,Stieg Larsson
27,2009,16.6,28,The 5000 Year Leap,"2,566",4.8,W. Cleon Skousen
28,2009,16.5,29,Good to Great: Why Some Companies Make the Leap and Others Don't,"5,811",4.5,Jim Collins
29,2009,24.98,30,Eclipse (Twilight Sagas),"12,788",4.7,Stephenie Meyer
0,2010,12.95,1,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),"21,762",4.7,Stieg Larsson
1,2010,9.49,2,The Girl with the Dragon Tattoo (Millennium Series),"15,488",4.5,Stieg Larsson
2,2010,13.68,3,Decision Points,"2,399",4.6,George W. Bush
3,2010,13.79,4,The Help,"18,095",4.8,Kathryn Stockett
4,2010,11.12,5,The Girl Who Played with Fire (Millennium Series),"21,762",4.7,Stieg Larsson
5,2010,11.7,6,"The Ugly Truth (Diary of a Wimpy Kid, Book 5)","10,604",4.8,Jeff Kinney
6,2010,18.29,7,StrengthsFinder 2.0,Gallup,4.1,
7,2010,9.08,8,Mockingjay (The Hunger Games),"37,073",4.6,Suzanne Collins
8,2010,11.21,9,Women Food and God: An Unexpected Path to Almost Everything,"1,969",4.4,Geneen Roth
9,2010,23.48,10,"Publication Manual of the American Psychological Association, 6th Edition","12,677",4.5,American Psychological Association
10,2010,19.79,11,"Autobiography of Mark Twain, Vol. 1",612,4.4,Mark Twain
11,2010,19.0,12,The Big Short: Inside the Doomsday Machine,"5,902",4.7,Michael Lewis
12,2010,11.57,13,Food Rules: An Eater's Manual,"2,496",4.5,Michael Pollan
13,2010,14.72,14,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","33,642",4.8,Laura Hillenbrand
14,2010,7.22,15,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)","3,306",4.6,Charlaine Harris
15,2010,14.99,16,Sh*t My Dad Says,"1,783",4.7,Justin Halpern
16,2010,17.5,17,Crazy Love: Overwhelmed by a Relentless God,"1,920",4.7,Francis Chan
17,2010,8.58,18,The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),"6,169",4.7,Stephenie Meyer
18,2010,12.99,19,Life,"4,707",4.6,Keith Richards
19,2010,12.0,20,Cutting for Stone,"6,798",4.6,Abraham Verghese
20,2010,12.89,21,The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,576,4.5,Jon Stewart
21,2010,41.47,22,The Official SAT Study Guide,The College Board,4.4,
22,2010,12.97,23,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime","1,358",4.5,John Heilemann
23,2010,14.19,24,The Immortal Life of Henrietta Lacks,"16,953",4.7,Rebecca Skloot
24,2010,14.53,25,"The Lost Hero (Heroes of Olympus, Book 1)","11,573",4.8,Rick Riordan
25,2010,22.99,26,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,860,4.5,Doug Lemov
26,2010,16.04,27,Outliers: The Story of Success,"22,234",4.7,Malcolm Gladwell
27,2010,9.48,28,Catching Fire (The Hunger Games),"32,493",4.7,Suzanne Collins
28,2010,20.7,29,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,4.6,
29,2010,16.5,30,Good to Great: Why Some Companies Make the Leap and Others Don't,"5,811",4.5,Jim Collins
0,2011,17.33,1,Steve Jobs,"12,792",4.7,Walter Isaacson
1,2011,10.24,2,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,"17,370",4.7,Todd Burpo
2,2011,9.97,3,"Cabin Fever (Diary of a Wimpy Kid, Book 6)","11,135",4.8,Jeff Kinney
3,2011,18.29,4,StrengthsFinder 2.0,Gallup,4.1,
4,2011,11.69,5,The Hunger Games (Book 1),"42,807",4.7,Suzanne Collins
5,2011,14.72,6,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","33,642",4.8,Laura Hillenbrand
6,2011,15.0,7,Inheritance: Book IV (Inheritance Cycle),"9,020",4.7,Christopher Paolini
7,2011,14.35,8,Go the F**k to Sleep,"20,263",4.8,Adam Mansbach
8,2011,9.08,9,Mockingjay (The Hunger Games),"37,073",4.6,Suzanne Collins
9,2011,54.98,10,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,"6,357",4.6,George R.R. Martin
10,2011,9.48,11,Catching Fire (The Hunger Games),"32,493",4.7,Suzanne Collins
11,2011,18.99,12,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,
12,2011,24.31,13,A Dance with Dragons (A Song of Ice and Fire),"17,276",4.5,George R. R. Martin
13,2011,9.99,14,"The Son of Neptune (Heroes of Olympus, Book 2)","11,685",4.8,Rick Riordan
14,2011,13.41,15,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),"10,849",4.7,Bill O'Reilly
